TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages,Length,Century,Decade,Period,contemporary_single_author,Selection
A03319,99842300,6945,STC 13438; ESTC S106586,Free,"Higden, Ranulf, d. 1364.; Trevisa, John, d. 1402.; Caxton, William, ca. 1422-1491.",1482,Prolicionycion [sic]; Polycronicon. English,Geography -- Early works to 1800.; World history -- Early works to 1800.; Great Britain -- Description and travel -- Early works to 1800.,902,404883,15,1480,1400-1450,n,
A06811,99855799,21302,STC 17246; ESTC S120604,Free,"Mandeville, John, Sir.; Jean, d'Outremeuse, 1338-ca. 1399, attributed name.",1496,[Here endeth the boke of Iohn Maunduyle knyght of wayes to Ierusalem [and] of marueylys of y5xx]; Itinerarium. English,Voyages and travels -- Early works to 1800.,138,44795,15,1490,1400-1450,n,
A06812,99844022,8804,STC 17247; ESTC S108363,Free,"Mandeville, John, Sir.; Jean, d'Outremeuse, 1338-ca. 1399, attributed name.",1499,"Here begynneth a lytell treatyse or booke named Johan Mau[n]deuyll knyght born in Englonde in the towne of saynt Albone [and] speketh of the wayes of the holy londe towarde Jherusalem, [and] of marueyles of Ynde [and] of other dyuerse cou[n]trees.; Itinerarium. English",Voyages and travels -- Early works to 1800.,190,42925,15,1490,1400-1450,n,
A68181,99842234,6874,STC 13440A; ESTC S106519,Free,"Higden, Ranulf, d. 1364.; Trevisa, John, d. 1402.",1480,Here endeth the discripcion of Britayne ...; Polycronicon. English. Selections,Great Britain -- Description and travel -- Early works to 1800.,54,25604,15,1480,1400-1450,n,
A68182,99852017,17315,STC 13440B; ESTC S116801,Free,"Higden, Ranulf, d. 1364.; Trevisa, John, d. 1402.",1498,The descrypcyon of Englonde Here foloweth a lytell treatyse the whiche treateth of the descrypcyon of this londe which of olde tyme was named Albyon and after Brytayne and now is called Englonde and speketh of the noblesse and worthynesse of the same; Polycronicon. English. Selections,Great Britain -- Description and travel -- Early works to 1800.,50,25727,15,1490,1400-1450,n,
A00005,99842408,7058,STC 10000; ESTC S106695,Free,"Higden, Ranulf, d. 1364. Polycronicon. English. Selections.; Trevisa, John, d. 1402.",1515,Here begynneth a shorte and abreue table on the Cronycles ...; Saint Albans chronicle.,Great Britain -- History -- To 1485 -- Early works to 1800.; England -- Description and travel -- Early works to 1800.,302,493182,16,1510,1500-1550,n,
A00007,99844302,9101,STC 10002; ESTC S108645,Free,"Higden, Ranulf, d. 1364. Polycronicon.",1528,"The Cronycles of Englonde with the dedes of popes and emperours, and also the descripcyon of Englonde; Saint Albans chronicle.",Great Britain -- History -- To 1485 -- Early works to 1800.; England -- Description and travel -- Early works to 1800.,386,500439,16,1520,1500-1550,n,
A01828,99851891,17184,STC 11966; ESTC S116675,Free,"Góis, Damião de, 1502-1574.; More, John, fl. 1533.",1533,"The legacye or embassate of the great emperour of Inde prester Iohn, vnto Emanuell kynge of Portyngale, in the yere of our lorde M. v.C.xiii. Of the fayth of the Indyans, ceremonyes, relygyons [&]c. Of the patryarche [and] his offyce. Of the realme, state, power, maiesty, and order of the courte of prester Iohn; Legatio magni Indorum Imperatoris Presbyteri Ioannis, ad Emanuelem Lusitaniae Regem. English.","Manuel -- I, -- King of Portugal, 1469-1521 -- Early works to 1800.; Voyages and travels -- Early works to 1800.; Portugal -- History -- Manuel, 1495-1521 -- Early works to 1800.",64,9476,16,1530,1500-1550,n,
A06814,99840099,4570,STC 17249; ESTC S104361,Free,"Mandeville, John, Sir.; Jean, d'Outremeuse, 1338-ca. 1399, attributed name.",1503,Than is there an other yle ye men call Dodye; Itinerarium. English,Voyages and travels -- Early works to 1800.,62,15709,16,1500,1500-1550,n,
A23592,99856584,22156,STC 9997; ESTC S121402,Free,"Higden, Ranulf, d. 1364. Polycronicon. English. Selections.; Trevisa, Johncd. 1402.",1502,Tabula; Chronicles of England.,Great Britain -- History -- To 1485 -- Early works to 1800.; Great Britain -- Description and travel -- Early works to 1800.,377,494880,16,1500,1500-1550,n,
